active_date,skill_name,job_count,month_total
2023-02,Team Management,1,823
2023-02,Project Management,1,823
2023-02,Maxipanel,1,823
2023-02,Facebook Pixel,1,823
2023-02,Kafka,1,823
2023-02,HTML5,1,823
2023-02,PHP 7.x,1,823
2023-02,NoSQL,1,823
2023-02,K8S,1,823
2023-02,Bash,1,823
2023-02,Pandas,1,823
2023-03,SQL,134,598
2023-03,Python,117,598
2023-03,Scala,52,598
2023-03,Spark,44,598
2023-03,PowerBI,41,598
2023-03,GCP,37,598
2023-03,R,22,598
2023-03,Java,15,598
2023-03,Cloud Native,12,598
2023-03,Excel,11,598
2023-03,Tableau,10,598
2023-03,Azure,10,598
2023-03,Cloudera,9,598
2023-03,Hadoop,7,598
2023-03,Cloud,7,598
2023-03,Team Leadership,6,598
2023-03,DevOps,5,598
2023-03,Problem Solving,4,598
2023-03,ETL,4,598
2023-03,AWS,4,598
2023-03,HubSpot,3,598
2023-03,qlik,3,598
2023-03,Microsoft Azure Cloud,3,598
2023-03,AXIOM,3,598
2023-03,Git,2,598
2023-03,SAP ERP,2,598
2023-03,Kafka,2,598
2023-03,HotJar,2,598
2023-03,Flink,2,598
2023-03,Outlook,2,598
2023-03,ms teams,2,598
2023-03,Trading voice,2,598
2023-03,MS Access,1,598
2023-03,VBA,1,598
2023-03,cdh,1,598
2023-03,Linux,1,598
2023-03,HDFS,1,598
2023-03,Risk Management,1,598
2023-03,Team Management,1,598
2023-03,Project Management,1,598
2023-03,Maxipanel,1,598
2023-03,Facebook Pixel,1,598
2023-03,Teamwork,1,598
2023-03,HTML5,1,598
2023-03,PHP 7.x,1,598
2023-03,Azure Cloud,1,598
2023-03,Azure/AWS,1,598
2023-03,NoSQL,1,598
2023-03,Pandas,1,598
2023-03,Java 11,1,598
2023-03,Java 8,1,598
2023-04,SQL,86,496
2023-04,Python,69,496
2023-04,Spark,51,496
2023-04,Scala,48,496
2023-04,PowerBI,31,496
2023-04,R,24,496
2023-04,GCP,17,496
2023-04,Azure/AWS,17,496
2023-04,SAP,15,496
2023-04,Hadoop,14,496
2023-04,Excel,11,496
2023-04,Java,11,496
2023-04,Cloudera,11,496
2023-04,ETL,10,496
2023-04,AWS,9,496
2023-04,Tableau,8,496
2023-04,Cloud,7,496
2023-04,SSIS,6,496
2023-04,Flink,4,496
2023-04,Azure,4,496
2023-04,Team Leadership,4,496
2023-04,Niemiecki,4,496
2023-04,HubSpot,3,496
2023-04,JVM,3,496
2023-04,Metabase,3,496
2023-04,Microsoft Azure Cloud,3,496
2023-04,Git,2,496
2023-04,Outlook,2,496
2023-04,ms teams,2,496
2023-04,Trading voice,2,496
2023-04,MS Access,1,496
2023-04,VBA,1,496
2023-04,Kafka,1,496
2023-04,Risk Management,1,496
2023-04,Team Management,1,496
2023-04,Project Management,1,496
2023-04,Airflow,1,496
2023-04,Maxipanel,1,496
2023-04,Facebook Pixel,1,496
2023-04,Teamwork,1,496
2023-04,HTML5,1,496
2023-04,PHP 7.x,1,496
2023-04,Pandas,1,496
2023-04,Java 11,1,496
2023-04,Java 8,1,496
2023-05,SQL,138,510
2023-05,Python,85,510
2023-05,Spark,33,510
2023-05,PowerBI,30,510
2023-05,Scala,24,510
2023-05,Hadoop,20,510
2023-05,SAP,19,510
2023-05,AWS,18,510
2023-05,Java,14,510
2023-05,GCP,13,510
2023-05,Kafka,11,510
2023-05,Excel,9,510
2023-05,Niemiecki,8,510
2023-05,Cloud,7,510
2023-05,ETL,7,510
2023-05,SSIS,6,510
2023-05,Airflow,6,510
2023-05,Tableau,5,510
2023-05,Cloudera,4,510
2023-05,Flink,4,510
2023-05,Azure,4,510
2023-05,BI tools,4,510
2023-05,Oracle,4,510
2023-05,HubSpot,3,510
2023-05,JVM,3,510
2023-05,Metabase,3,510
2023-05,Linux,3,510
2023-05,Git,2,510
2023-05,R,2,510
2023-05,Power Query,2,510
2023-05,Power Pivot,2,510
2023-05,Outlook,2,510
2023-05,ms teams,2,510
2023-05,Trading voice,2,510
2023-05,Apache Hadoop,1,510
2023-05,Risk Management,1,510
2023-05,Team Management,1,510
2023-05,Project Management,1,510
2023-05,Teamwork,1,510
2023-05,HTML5,1,510
2023-05,PHP 7.x,1,510
2023-05,Pandas,1,510
2023-05,Team Leadership,1,510
2023-05,Java 11,1,510
2023-05,Java 8,1,510
2023-06,SQL,120,373
2023-06,Python,63,373
2023-06,Spark,22,373
2023-06,Scala,22,373
2023-06,AWS,19,373
2023-06,Hadoop,14,373
2023-06,Kafka,9,373
2023-06,Airflow,9,373
2023-06,SAP,8,373
2023-06,Niemiecki,8,373
2023-06,Java,7,373
2023-06,Cloud,7,373
2023-06,ETL,5,373
2023-06,GCP,5,373
2023-06,DWH,4,373
2023-06,Cloudera,4,373
2023-06,Azure,4,373
2023-06,BI tools,4,373
2023-06,Oracle,4,373
2023-06,Git,3,373
2023-06,HubSpot,3,373
2023-06,Linux,3,373
2023-06,Tableau,2,373
2023-06,Excel,2,373
2023-06,Power Query,2,373
2023-06,Power Pivot,2,373
2023-06,Outlook,2,373
2023-06,ms teams,2,373
2023-06,Trading voice,2,373
2023-06,alteryx,1,373
2023-06,VBS,1,373
2023-06,Apache Hadoop,1,373
